,chr,start,stop,gene
0,1,1684293,1696896,NADK
0,1,1718720,1756943,GNB1
0,1,1846670,1848683,CALML6
0,1,1849271,1850755,TMEM52
0,1,1853676,1887340,C1orf222
0,1,1886967,1887340,KIAA1751
0,1,1888009,1888274,C1orf222
0,1,1888009,1888274,KIAA1751
0,1,1890509,1890699,C1orf222
0,1,1890509,1890699,KIAA1751
0,1,1891353,1891598,C1orf222
0,1,1891353,1891598,KIAA1751
0,1,1895138,1895357,C1orf222
0,1,1895138,1895357,KIAA1751
0,1,1896277,1896551,C1orf222
0,1,1896277,1896551,KIAA1751
0,1,1897760,1898016,C1orf222
0,1,1897760,1918525,KIAA1751
0,1,1919513,1920145,C1orf222
0,1,1919901,1920145,KIAA1751
0,1,1920278,1920463,C1orf222
0,1,1920278,1920463,KIAA1751
0,1,1922279,1922446,C1orf222
0,1,1922279,1922446,KIAA1751
0,1,1950813,1961772,GABRD
0,1,1982020,2116499,PRKCZ
0,1,2116667,2121271,C1orf86
0,1,2121440,2122083,AL590822.2
0,1,2124247,2132588,C1orf86
0,1,2144316,2145070,AL590822.1
0,1,2160156,2238255,SKI
0,1,2252772,2255633,MORN1
0,1,2258531,2259093,AL589739.1
0,1,2267858,2286954,MORN1
0,1,2286837,2286954,NM_001301060
0,1,2288821,2289088,MORN1
0,1,2288821,2289088,NM_001301060
0,1,2289981,2290205,MORN1
0,1,2289981,2290205,NM_001301060
0,1,2303870,2304081,MORN1
0,1,2303870,2304081,NM_001301060
0,1,2305850,2306047,MORN1
0,1,2305850,2306047,NM_001301060
0,1,2310448,2316555,MORN1
0,1,2316367,2316555,NM_001301060
0,1,2317196,2317387,MORN1
0,1,2317196,2317387,NM_001301060
0,1,2318808,2319019,MORN1
0,1,2318808,2319019,NM_001301060
0,1,2319617,2319827,MORN1
0,1,2319617,2319827,NM_001301060
0,1,2321314,2321486,MORN1
0,1,2321314,2321486,NM_001301060
0,1,2322847,2323023,MORN1
0,1,2322847,2323023,NM_001301060
0,1,2327180,2334614,RER1
0,1,2337155,2343992,PEX10
0,1,2361904,2436703,PLCH2
0,1,2440236,2458077,PANK4
0,1,2460858,2461654,HES5
0,1,2488054,2488223,NM_001297605
0,1,2488054,2488223,TNFRSF14
0,1,2489115,2489324,NM_001297605
0,1,2489115,2489324,TNFRSF14
0,1,2489732,2489958,NM_001297605
0,1,2489732,2489958,TNFRSF14
0,1,2491212,2491468,NM_001297605
0,1,2491212,2491468,TNFRSF14
0,1,2492013,2492204,NM_001297605
0,1,2492013,2493305,TNFRSF14
0,1,2494254,2494386,NM_001297605
0,1,2494254,2494763,TNFRSF14
0,1,2518185,2520917,FAM213B
0,1,2522379,2560974,MMEL1
0,1,2572757,2706207,TTC34
0,1,2938201,2939435,ACTRT2
0,1,2985774,3350426,PRDM16
0,1,3379599,3397202,ARHGEF16
0,1,3407042,3527883,MEGF6
0,1,3541587,3545218,TPRG1L
0,1,3547489,3566614,WRAP73
0,1,3598880,3649694,TP73
0,1,3668996,3688138,CCDC27
0,1,3691888,3692536,SMIM1
0,1,3697602,3713091,LRRC47
0,1,3731916,3769022,CEP104
0,1,3774118,3800356,DFFB
0,1,3806474,3816801,C1orf174
0,1,4715436,4834610,AJAP1
0,1,5923275,6046400,NPHP4
0,1,6100579,6100756,AL035406.1
0,1,6100579,6100756,KCNAB2
0,1,6101339,6101450,AL035406.1
0,1,6101841,6160129,KCNAB2
0,1,6165378,6240134,CHD5
0,1,6241478,6259684,RPL22
0,1,6266546,6279518,RNF207
0,1,6285090,6296022,ICMT
0,1,6304376,6305618,HES3
0,1,6309348,6315016,GPR153
0,1,6324607,6453510,ACOT7
0,1,6473203,6479931,HES2
0,1,6484966,6521296,ESPN
0,1,6521444,6526218,TNFRSF25
0,1,6527573,6579622,PLEKHG5
0,1,6585864,6614613,NOL9
0,1,6615384,6639695,TAS1R1
0,1,6640620,6649323,ZBTB48
0,1,6653375,6662928,KLHL21
0,1,6674077,6681748,PHF13
0,1,6685229,6694199,THAP3
0,1,6694536,6761911,DNAJC11
0,1,6845541,7826633,CAMTA1
0,1,7831394,7839756,VAMP3
0,1,7844888,7902866,PER3
0,1,7903953,7913542,UTS2
0,1,7980845,8000105,TNFRSF9
0,1,8022796,8045165,PARK7
0,1,8064532,8075730,ERRFI1
0,1,8378119,8404124,SLC45A1
0,1,8415097,8716407,RERE
0,1,8921369,8935018,ENO1
0,1,9005896,9034814,CA6
0,1,9063309,9086455,SLC2A7
0,1,9097595,9129646,SLC2A5
0,1,9164428,9189137,GPR157
0,1,9300005,9324979,H6PD
0,1,9415901,9427685,SPSB1
0,1,9599701,9642610,SLC25A33
0,1,9648939,9673192,TMEM201
0,1,9713787,9714545,C1orf200
0,1,9770464,9787155,PIK3CD
0,1,9790516,9883842,CLSTN1
0,1,9910726,9932173,CTNNBIP1
0,1,9982263,10002844,LZIC
0,1,10032082,10032297,NM_001297778
0,1,10032082,10032297,NM_001297779
0,1,10032082,10032297,NMNAT1
0,1,10035600,10035884,NM_001297778
0,1,10035600,10035884,NM_001297779
0,1,10035600,10035884,NMNAT1
0,1,10041039,10041408,NM_001297778
0,1,10041039,10041408,NM_001297779
0,1,10041039,10041408,NMNAT1
0,1,10042309,10042810,NM_001297778
0,1,10042309,10045252,NMNAT1
0,1,10057267,10075941,RBP7
0,1,10093679,10240065,UBE4B
0,1,10292337,10438511,KIF1B
0,1,10459125,10479857,PGD
0,1,10490525,10490676,APITD1
0,1,10490525,10491509,APITD1-CORT
0,1,10493849,10494073,APITD1
0,1,10493849,10494073,APITD1-CORT
0,1,10494664,10494798,APITD1
0,1,10494664,10494798,APITD1-CORT
0,1,10500354,10500521,APITD1
0,1,10500354,10500521,APITD1-CORT
0,1,10502272,10502513,APITD1
0,1,10502272,10502513,APITD1-CORT
0,1,10510081,10511703,CORT
0,1,10511384,10511703,APITD1
0,1,10511384,10511703,APITD1-CORT
0,1,10521497,10532566,DFFA
0,1,10534974,10690095,PEX14
0,1,10698949,10753997,CASZ1
0,1,11007670,11042145,C1orf127
0,1,11073735,11083356,TARDBP
0,1,11086892,11107315,MASP2
0,1,11114872,11120051,SRM
0,1,11126725,11159939,EXOSC10
0,1,11167492,11227625,MTOR
0,1,11249587,11255131,ANGPTL7
0,1,11259265,11319517,MTOR
0,1,11333539,11354998,UBIAD1
0,1,11561000,11596794,PTCHD2
0,1,11708701,11715820,FBXO2
0,1,11715843,11721413,FBXO44
0,1,11728666,11733959,FBXO6
0,1,11734782,11740709,MAD2L2
0,1,11766266,11779804,DRAXIN
0,1,11796216,11810394,AGTRAP
0,1,11821794,11849567,C1orf167
0,1,11850687,11863622,MTHFR
0,1,11866270,11900331,CLCN6
0,1,11906016,11907792,NPPA
0,1,11917662,11918941,NPPB
0,1,11980322,11986345,KIAA2013
0,1,11994787,12034916,PLOD1
0,1,12049176,12071673,MFN2
0,1,12081734,12091923,MIIP
0,1,12123606,12202639,TNFRSF8
0,1,12227099,12267128,TNFRSF1B
0,1,12294274,12569129,VPS13D
0,1,12628319,12677404,DHRS3
0,1,12704516,12726797,AADACL4
0,1,12776130,12786014,AADACL3
0,1,12806329,12820935,C1orf158
0,1,12834961,12837793,PRAMEF12
0,1,12853327,12855169,PRAMEF1
0,1,12854938,12855169,NM_001294139
0,1,12855537,12856196,PRAMEF1
0,1,12855537,12856196,NM_001294139
0,1,12884750,12888699,PRAMEF11
0,1,12907211,12908193,HNRNPCL1
0,1,12907211,12908193,LOC649330
0,1,12918815,12921685,PRAMEF2
0,1,12939315,12943266,PRAMEF4
0,1,12952697,12955729,PRAMEF10
0,1,12977463,12977850,PRAMEF8
0,1,12977463,12977850,PRAMEF7
0,1,12978132,12978808,PRAMEF8
0,1,12978132,12978808,PRAMEF7
0,1,12979622,12980284,PRAMEF8
0,1,12979622,12980284,PRAMEF7
0,1,12998455,12999117,PRAMEF6
0,1,12998455,12999117,NM_001300891
0,1,12998455,12999117,PRAMEF9
0,1,13000764,13001446,PRAMEF6
0,1,13000764,13001446,NM_001300891
0,1,13000764,13001446,PRAMEF9
0,1,13002012,13002404,PRAMEF6
0,1,13002012,13002404,NM_001300891
0,1,13002012,13002404,PRAMEF9
0,1,13035493,13035886,LOC391003
0,1,13035493,13035886,PRAMEF22
0,1,13036172,13036851,LOC391003
0,1,13036172,13036851,PRAMEF22
0,1,13037758,13038432,LOC391003
0,1,13037758,13038432,PRAMEF22
0,1,13052676,13053049,WI2-3308P17.2
0,1,13108788,13109450,PRAMEF6
0,1,13108788,13109450,PRAMEF5
0,1,13111096,13111778,PRAMEF6
0,1,13111096,13111778,PRAMEF5
0,1,13112344,13112731,PRAMEF6
0,1,13112344,13112731,PRAMEF5
0,1,13182941,13183923,HNRNPCP5
0,1,13216638,13219632,PRAMEF26
0,1,13328783,13329457,PRAMEF3
0,1,13328783,13329457,LOC391003
0,1,13328783,13329457,PRAMEF22
0,1,13330364,13331043,PRAMEF3
0,1,13330364,13331043,LOC391003
0,1,13330364,13331043,PRAMEF22
0,1,13331329,13331722,PRAMEF3
0,1,13331329,13331722,PRAMEF22
0,1,13364836,13365228,PRAMEF6
0,1,13364836,13365228,PRAMEF5
0,1,13364836,13365228,NM_001300891
0,1,13365794,13366476,PRAMEF6
0,1,13365794,13366476,PRAMEF5
0,1,13365794,13366476,NM_001300891
0,1,13368122,13368784,PRAMEF6
0,1,13368122,13368784,PRAMEF5
0,1,13368122,13368784,NM_001300891
0,1,13386932,13387594,PRAMEF8
0,1,13386932,13387594,PRAMEF7
0,1,13388408,13389084,PRAMEF8
0,1,13388408,13389084,PRAMEF7
0,1,13389366,13389753,PRAMEF8
0,1,13389366,13389753,PRAMEF7
0,1,13411501,13411888,PRAMEF10
0,1,13411501,13411888,LOC645382
0,1,13412184,13412863,PRAMEF10
0,1,13412184,13412863,LOC645382
0,1,13413874,13414533,PRAMEF10
0,1,13413874,13414533,LOC645382
0,1,13423953,13424346,NM_001300891
0,1,13423953,13424346,PRAMEF15
0,1,13423953,13424346,PRAMEF9
0,1,13424917,13425599,NM_001300891
0,1,13424917,13425599,PRAMEF15
0,1,13424917,13425599,PRAMEF9
0,1,13427248,13427910,NM_001300891
0,1,13427248,13427910,PRAMEF15
0,1,13427248,13427910,PRAMEF9
0,1,13448000,13448659,LOC400736
0,1,13448000,13448659,PRAMEF13
0,1,13448000,13448659,PRAMEF14
0,1,13449510,13450189,LOC400736
0,1,13449510,13450189,PRAMEF13
0,1,13449510,13450189,PRAMEF14
0,1,13450500,13450887,LOC400736
0,1,13450500,13450887,PRAMEF13
0,1,13450500,13450887,PRAMEF14
0,1,13474639,13475313,PRAMEF19
0,1,13474639,13475313,PRAMEF18
0,1,13476221,13476900,PRAMEF19
0,1,13476221,13476900,PRAMEF18
0,1,13477186,13477573,PRAMEF19
0,1,13477186,13477573,PRAMEF18
0,1,13495234,13495621,PRAMEF17
0,1,13495234,13495621,PRAMEF16
0,1,13495917,13496596,PRAMEF17
0,1,13495917,13496596,PRAMEF16
0,1,13497520,13498179,PRAMEF17
0,1,13497520,13498179,PRAMEF16
0,1,13521923,13522310,PRAMEF20
0,1,13521923,13522310,PRAMEF21
0,1,13523687,13524366,PRAMEF20
0,1,13523687,13524366,PRAMEF21
0,1,13526262,13526924,PRAMEF20
0,1,13526262,13526924,PRAMEF21
0,1,13607717,13608379,PRAMEF8
0,1,13607717,13608379,PRAMEF7
0,1,13609193,13609869,PRAMEF8
0,1,13609193,13609869,PRAMEF7
0,1,13610151,13610538,PRAMEF8
0,1,13610151,13610538,PRAMEF7
0,1,13632298,13632685,PRAMEF10
0,1,13632298,13632685,LOC645382
0,1,13632981,13633660,PRAMEF10
0,1,13632981,13633660,LOC645382
0,1,13634671,13635330,PRAMEF10
0,1,13634671,13635330,LOC645382
0,1,13644750,13645143,NM_001300891
0,1,13644750,13645143,PRAMEF15
0,1,13645714,13646396,NM_001300891
0,1,13645714,13646396,PRAMEF15
0,1,13648045,13648707,NM_001300891
0,1,13648045,13648707,PRAMEF15
0,1,13668855,13669514,LOC400736
0,1,13668855,13669514,PRAMEF14
0,1,13670365,13671044,LOC400736
0,1,13670365,13671044,PRAMEF14
0,1,13671355,13671742,LOC400736
0,1,13671355,13671742,PRAMEF14
0,1,13695475,13698409,PRAMEF19
0,1,13698022,13698409,LOC391003
0,1,13716068,13719013,PRAMEF17
0,1,13742762,13747784,PRAMEF20
0,1,13802264,13840139,LRRC38
0,1,13910251,13942457,PDPN
0,1,14042051,14149730,PRDM2
0,1,14925444,15441182,KAZN
0,1,15490790,15497825,C1orf195
0,1,15541534,15546290,TMEM51
0,1,15573726,15723960,FHAD1
0,1,15736418,15755271,EFHD2
0,1,15764911,15773135,CTRC
0,1,15783199,15798553,CELA2A
0,1,15802571,15817858,CELA2B
0,1,15819388,15850746,CASP9
0,1,15855551,15894723,DNAJC16
0,1,15900096,15900270,AGMAT
0,1,15901202,15901387,DNAJC16
0,1,15901202,15911513,AGMAT
0,1,15944116,15983179,DDI2
0,1,15986314,15988268,RSC1A1
0,1,16011004,16060480,PLEKHM2
0,1,16062931,16065952,SLC25A34
0,1,16069005,16074178,TMEM82
0,1,16091429,16111207,FBLIM1
0,1,16133819,16134195,UQCRHL
0,1,16174513,16265973,SPEN
0,1,16268414,16275041,ZBTB17
0,1,16330749,16332892,C1orf64
0,1,16342025,16346015,HSPB7
0,1,16349065,16360204,CLCNKA
0,1,16370938,16383831,CLCNKB
0,1,16384882,16399988,FAM131C
0,1,16451660,16482478,EPHA2
0,1,16525032,16535600,ARHGEF19
0,1,16555318,16556089,C1orf134
0,1,16558493,16563288,RSG1
0,1,16577115,16641964,FBXO42
0,1,16693703,16693854,SZRD1
0,1,16713740,16713847,SPATA21
0,1,16713947,16721814,SZRD1
0,1,16725210,16757917,SPATA21
0,1,16767207,16785542,NECAP2
0,1,16865511,16866121,FAM231B
0,1,16890388,16918567,NBPF1
0,1,16999448,17061007,FAM231A
0,1,17060397,17061007,FAM231C
0,1,17083677,17091026,MST1L
0,1,17248464,17298992,CROCC
0,1,17301365,17304819,MFAP2
0,1,17312430,17338284,ATP13A2
0,1,17345326,17380565,SDHB
0,1,17395489,17445917,PADI2
0,1,17531663,17570789,PADI1
0,1,17575583,17609625,PADI3
0,1,17634668,17634860,PADI4
0,1,17655457,17655580,AC004824.2
0,1,17657414,17657695,PADI4
0,1,17658076,17658270,AC004824.2
0,1,17660388,17662772,PADI4
0,1,17664167,17664335,AC004824.2
0,1,17664483,17668948,PADI4
0,1,17669296,17669466,AC004824.2
0,1,17672473,17674594,PADI4
0,1,17675932,17676121,AC004824.2
0,1,17680978,17690301,PADI4
0,1,17698691,17727985,PADI6
0,1,17735536,17765061,RCC2
0,1,17907041,18023926,ARHGEF10L
0,1,18149454,18153065,ACTL8
0,1,18434573,18704871,IGSF21
0,1,18807426,18809860,KLHDC7A
0,1,18958048,19071474,PAX7
0,1,19166043,19186205,TAS1R2
0,1,19199289,19229068,ALDH4A1
0,1,19235005,19235211,IFFO2
0,1,19235005,19235211,RP13-279N23.2
0,1,19236786,19237017,IFFO2
0,1,19236786,19237017,RP13-279N23.2
0,1,19237828,19238021,IFFO2
0,1,19237828,19238021,RP13-279N23.2
0,1,19238407,19238628,IFFO2
0,1,19238407,19238628,RP13-279N23.2
0,1,19243347,19243587,IFFO2
0,1,19243347,19243587,RP13-279N23.2
0,1,19244806,19245047,IFFO2
0,1,19244806,19245047,RP13-279N23.2
0,1,19246122,19246318,IFFO2
0,1,19246122,19246318,RP13-279N23.2
0,1,19247505,19247666,IFFO2
0,1,19247505,19247666,RP13-279N23.2
0,1,19282112,19282877,IFFO2
0,1,19401276,19536793,UBR4
0,1,19545747,19578054,EMC1
0,1,19578280,19585375,MRTO4
0,1,19609175,19615254,AKR7A3
0,1,19630669,19638669,AKR7A2
0,1,19644122,19655188,PQLC2
0,1,19665974,19811983,CAPZB
0,1,19923490,19923654,MINOS1
0,1,19923490,19927516,MINOS1-NBL1
0,1,19948544,19948692,MINOS1
0,1,19948544,19948692,MINOS1-NBL1
0,1,19949918,19950128,MINOS1
0,1,19949918,19950128,MINOS1-NBL1
0,1,19951836,19952946,MINOS1
0,1,19952831,19952946,MINOS1-NBL1
0,1,19969756,19972578,NBL1
0,1,19981455,19981744,MINOS1-NBL1
0,1,19981455,19981744,NBL1
0,1,19981767,19981980,MINOS1-NBL1
0,1,19981767,19981980,NBL1
0,1,19983309,19983673,MINOS1-NBL1
0,1,19983309,19983673,NBL1
0,1,19992197,20005912,HTR6
0,1,20009072,20107302,TMCO4
0,1,20140861,20141645,RNF186
0,1,20208957,20234290,OTUD3
0,1,20246750,20250103,PLA2G2E
0,1,20302144,20305317,PLA2G2A
0,1,20411274,20417236,PLA2G5
0,1,20440557,20446042,PLA2G2D
0,1,20465871,20474945,PLA2G2F
0,1,20490434,20503907,PLA2G2C
0,1,20517005,20517948,UBXN10
0,1,20637045,20680807,VWA5B1
0,1,20810092,20811923,CAMK2N1
0,1,20827133,20834568,MUL1
0,1,20879417,20880507,FAM43B
0,1,20915573,20945112,CDA
0,1,20959992,20977235,PINK1
0,1,20978822,20987945,DDOST
0,1,20991027,21044250,KIF17
0,1,21048235,21054588,SH2D5
0,1,21071240,21106984,HP1BP3
0,1,21133762,21329286,EIF4G3
0,1,21546398,21671922,ECE1
0,1,21771530,21809930,NBPF3
0,1,21880525,21904192,ALPL
0,1,21924163,21978366,RAP1GAP
0,1,22005860,22109501,USP48
0,1,22138895,22148759,LDLRAD2
0,1,22149759,22263761,HSPG2
0,1,22303483,22324733,CELA3B
0,1,22328118,22339011,CELA3A
0,1,22404922,22418061,CDC42
0,1,22446493,22469466,WNT4
0,1,22816392,22852940,ZBTB40
0,1,22890079,22928285,EPHA8
0,1,22964060,22965951,C1QA
0,1,22970467,22974327,C1QC
0,1,22985900,22987930,C1QB
0,1,23037426,23240414,EPHB2
0,1,23279486,23291974,LACTBL1
0,1,23337344,23342317,C1orf234
0,1,23346040,23409908,KDM1A
0,1,23415338,23420805,LUZP1
0,1,23519529,23520763,HTR1D
0,1,23636897,23637610,HNRNPR
0,1,23636897,23637610,NM_001297620
0,1,23636897,23637610,NM_001297622
0,1,23636897,23637610,NM_001297621
0,1,23637644,23637866,HNRNPR
0,1,23637644,23637866,NM_001297620
0,1,23637644,23637866,NM_001297622
0,1,23637644,23637866,NM_001297621
0,1,23639996,23640246,HNRNPR
0,1,23639996,23640246,NM_001297620
0,1,23639996,23640246,NM_001297622
0,1,23639996,23640246,NM_001297621
0,1,23644926,23645241,HNRNPR
0,1,23644926,23645241,NM_001297620
0,1,23644926,23645241,NM_001297622
0,1,23644926,23645241,NM_001297621
0,1,23647971,23648207,HNRNPR
0,1,23647971,23648207,NM_001297620
0,1,23647971,23648207,NM_001297622
0,1,23647971,23648207,NM_001297621
0,1,23649999,23650276,HNRNPR
0,1,23649999,23650276,NM_001297620
0,1,23649999,23650276,NM_001297622
0,1,23659961,23660175,HNRNPR
0,1,23659961,23660175,NM_001297621
0,1,23664197,23664405,HNRNPR
0,1,23664197,23664405,NM_001297620
0,1,23664197,23664405,NM_001297622
0,1,23664197,23664405,NM_001297621
0,1,23664933,23665152,HNRNPR
0,1,23664933,23665152,NM_001297620
0,1,23667295,23667552,HNRNPR
0,1,23667295,23667552,NM_001297620
0,1,23688412,23694549,ZNF436
0,1,23695741,23698066,C1orf213
0,1,23707909,23751177,TCEA3
0,1,23756299,23810677,ASAP3
0,1,23836322,23857336,E2F2
0,1,23885401,23885968,ID3
0,1,23955995,23967090,MDS2
0,1,24018264,24022914,RPL11
0,1,24069866,24086114,TCEB3
0,1,24104956,24113917,PITHD1
0,1,24119123,24121273,LYPLA2
0,1,24122389,24125548,GALE
0,1,24128903,24164839,HMGCL
0,1,24172155,24194827,FUCA1
0,1,24200975,24202158,CNR2
0,1,24287408,24288418,PNRC2
0,1,24294103,24294264,NM_001300937
0,1,24294103,24294264,SRSF10
0,1,24294366,24294497,NM_001300936
0,1,24294366,24294497,SRSF10
0,1,24297582,24297980,NM_001300937
0,1,24297582,24297980,SRSF10
0,1,24298013,24298167,NM_001300937
0,1,24298013,24298167,NM_001300936
0,1,24298013,24298167,SRSF10
0,1,24298290,24298553,NM_001300937
0,1,24298290,24298553,NM_001300936
0,1,24298290,24298553,SRSF10
0,1,24301414,24301618,NM_001300937
0,1,24301414,24301618,NM_001300936
0,1,24301414,24301618,SRSF10
0,1,24305113,24305358,NM_001300937
0,1,24305113,24305358,NM_001300936
0,1,24305113,24305358,SRSF10
0,1,24306631,24306796,NM_001300937
0,1,24306631,24306796,NM_001300936
0,1,24306631,24306796,SRSF10
0,1,24383804,24435177,MYOM3
0,1,24447245,24469623,IL22RA1
0,1,24483570,24513789,IFNLR1
0,1,24645992,24681029,GRHL3
0,1,24684983,24687582,STPG1
0,1,24690625,24690912,GRHL3
0,1,24695787,24727929,STPG1
0,1,24745988,24795726,NIPAL3
0,1,24840813,24861818,RCAN3
0,1,24921872,24932289,NCMAP
0,1,24969768,24998828,SRRM1
0,1,25071995,25167479,CLIC4
0,1,25228563,25291113,RUNX3
0,1,25549707,25559009,SYF2
0,1,25569030,25569247,C1orf63
0,1,25569030,25569247,RSRP1
0,1,25569991,25570175,C1orf63
0,1,25569991,25570175,RSRP1
0,1,25570657,25571843,C1orf63
0,1,25571591,25571843,RSRP1
0,1,25572885,25573505,C1orf63
0,1,25572885,25573505,RSRP1
0,1,25598989,25655678,RHD
0,1,25666928,25687247,TMEM50A
0,1,25688877,25747328,RHCE
0,1,25757540,25825008,TMEM57
0,1,25870140,25893534,LDLRAP1
0,1,25944239,26110392,MAN1C1
0,1,26126672,26140720,SEPN1
0,1,26140322,26140720,RP1-317E23.6
0,1,26141989,26142260,SEPN1
0,1,26146694,26147301,AL020996.1
0,1,26149460,26149670,MTFR1L
0,1,26149460,26149670,RP1-317E23.6
0,1,26149679,26156372,MTFR1L
0,1,26158362,26158700,AUNIP
0,1,26158362,26158700,MTFR1L
0,1,26161434,26185899,AUNIP
0,1,26189240,26190381,PAQR7
0,1,26212164,26231218,STMN1
0,1,26288430,26317358,PAFAH2
0,1,26349088,26361889,EXTL1
0,1,26365601,26372438,SLC30A2
0,1,26378314,26394036,TRIM63
0,1,26440750,26449119,PDIK1L
0,1,26487733,26488649,FAM110D
0,1,26496425,26497258,ZNF593
0,1,26503989,26504141,CNKSR1
0,1,26503989,26504141,NM_001297647
0,1,26506894,26507152,CNKSR1
0,1,26506894,26507152,NM_001297647
0,1,26507156,26507438,CNKSR1
0,1,26507156,26507438,NM_001297647
0,1,26508298,26508483,CNKSR1
0,1,26508298,26508483,NM_001297647
0,1,26508802,26509126,CNKSR1
0,1,26508802,26509126,NM_001297647
0,1,26509638,26509977,CNKSR1
0,1,26509638,26509977,NM_001297647
0,1,26510170,26510372,CNKSR1
0,1,26510170,26510372,NM_001297648
0,1,26510170,26510372,NM_001297647
0,1,26510512,26510829,CNKSR1
0,1,26510512,26510829,NM_001297648
0,1,26510512,26510829,NM_001297647
0,1,26510842,26511154,CNKSR1
0,1,26510842,26511154,NM_001297648
0,1,26510842,26511154,NM_001297647
0,1,26511455,26511728,CNKSR1
0,1,26511455,26511728,NM_001297648
0,1,26511455,26511728,NM_001297647
0,1,26513609,26513783,CNKSR1
0,1,26513609,26513783,NM_001297648
0,1,26513609,26513783,NM_001297647
0,1,26513852,26514024,CNKSR1
0,1,26513852,26514024,NM_001297648
0,1,26513852,26514024,NM_001297647
0,1,26514675,26514849,CNKSR1
0,1,26514675,26514849,NM_001297648
0,1,26514675,26514849,NM_001297647
0,1,26514883,26515495,CNKSR1
0,1,26514883,26515495,NM_001297648
0,1,26514883,26515495,NM_001297647
0,1,26515720,26516090,CNKSR1
0,1,26515720,26516090,NM_001297648
0,1,26515720,26516090,NM_001297647
0,1,26517069,26529084,CATSPER4
0,1,26566225,26603835,CEP85
0,1,26606597,26607665,SH3BGRL3
0,1,26608740,26629425,UBXN11
0,1,26644459,26646844,CD52
0,1,26648409,26673199,AIM1L
0,1,26688092,26700832,ZNF683
0,1,26737333,26753000,LIN28A
0,1,26759387,26795673,DHDDS
0,1,26799054,26801690,HMGN2
0,1,26856362,26900985,RPS6KA1
0,1,27022845,27107298,ARID1A
0,1,27117257,27124386,PIGV
0,1,27153246,27182768,ZDHHC18
0,1,27189654,27190501,SFN
0,1,27206118,27216638,GPN2
0,1,27217245,27226984,GPATCH3
0,1,27237584,27237777,NUDC
0,1,27238286,27240482,NR0B2
0,1,27248290,27272723,NUDC
0,1,27276510,27276693,KDF1
0,1,27276510,27276693,C1orf172
0,1,27277123,27277298,KDF1
0,1,27277123,27277298,C1orf172
0,1,27277783,27278922,KDF1
0,1,27277783,27278922,C1orf172
0,1,27320228,27321012,TRNP1
0,1,27332385,27339212,FAM46B
0,1,27426748,27480876,SLC9A1
0,1,27587496,27632925,WDTC1
0,1,27648639,27662008,TMEM222
0,1,27671776,27680394,SYTL1
