AUC,Rank,Term_Name,Overlapping_Genes,Adjusted_P-value,Source
0.6,6,chr7,"LMBR1, DPP6, IQCE, GARS, SNX10, DFNA5",1.0,Chromosome_Location_hg19
0.6,7,chr9,"NTRK2, NSMF, IKBKAP, BAAT, SPTAN1",1.0,Chromosome_Location_hg19
0.6,8,chr17,"SLC46A1, SLFN14, PRCD, MYH8, UBTF, NLRP1, SOX9-AS1",1.0,Chromosome_Location_hg19
0.6,9,chr5,"HINT1, GFM2, ZFR, SMN1, AFF4",1.0,Chromosome_Location_hg19
0.6,10,chr10,"CACNB2, ZRANB1, TWNK, SFTPA1",1.0,Chromosome_Location_hg19
0.6,11,chr13,"FGF9, TGDS",1.0,Chromosome_Location_hg19
0.6,12,chr11,"CARS, LIPT2, KCNJ5, TRPC6, KCNE3, DCHS1",1.0,Chromosome_Location_hg19
0.6,13,chr6,"CDKN1A, TPMT, WISP3, MUT, TBX18",1.0,Chromosome_Location_hg19
0.6,14,chr3,"CD96, ARHGAP31, SCN10A, PLCD1, ROBO1",1.0,Chromosome_Location_hg19
0.6,15,chr4,"GRID2, ALPK1, TLR3",1.0,Chromosome_Location_hg19
0.6,17,chr15,"KBTBD13, SORD",1.0,Chromosome_Location_hg19
0.6,18,chr8,"KCNK9, CPA6",1.0,Chromosome_Location_hg19
0.6,16,chr22,APOL1,1.0,Chromosome_Location_hg19
0.6,19,chr16,"MRPS34, MAPK8IP3",1.0,Chromosome_Location_hg19
0.6,21,chr1,"YARS, CEP104, SLC6A9, GJB3, CFHR4, HFE2, HNRNPR",1.0,Chromosome_Location_hg19
0.65,1,chrX,"OPN1MW, OPN1LW, NDUFA1, HNRNPH2, UBE2A, ARR3, CHRDL1, RAB40AL, CT47B1, TAF1",1.0,Chromosome_Location_hg19
0.65,2,chr12,"C12ORF4, SCARB1, SLC25A3, GPD1, IRAK3, IGF1, KRT86, DUSP6",1.0,Chromosome_Location_hg19
0.65,3,chr14,"BRF1, SPTLC2, NRXN3, ANG, ESR2",1.0,Chromosome_Location_hg19
0.65,5,chr19,"RTN2, LIPE, CYP2A6, UNC13A, CEACAM16, NLRP7, KIR3DL1, WTIP, TRPM4",1.0,Chromosome_Location_hg19
0.65,4,chr18,"CTDP1, MALT1",1.0,Chromosome_Location_hg19
0.65,6,chr22,"SCO2, APOL1, NEFH",1.0,Chromosome_Location_hg19
0.65,7,chr5,"PCSK1, HINT1, GFM2, ZFR, SMN1, AFF4",1.0,Chromosome_Location_hg19
0.65,8,chr10,"CACNB2, ZRANB1, TWNK, SFTPA1, KCNK18",1.0,Chromosome_Location_hg19
0.65,9,chr9,"NTRK2, NSMF, IKBKAP, BAAT, SPTAN1",1.0,Chromosome_Location_hg19
0.65,10,chr7,"LMBR1, DPP6, IQCE, GARS, SNX10, DFNA5",1.0,Chromosome_Location_hg19
0.65,11,chr17,"SLC46A1, SLFN14, PRCD, MYH8, UBTF, NLRP1, SOX9-AS1",1.0,Chromosome_Location_hg19
0.65,12,chr8,"KCNK9, CPA6, CYP7A1, GPIHBP1",1.0,Chromosome_Location_hg19
0.65,13,chr13,"FGF9, TGDS",1.0,Chromosome_Location_hg19
0.65,14,chr21,KCNE2,1.0,Chromosome_Location_hg19
0.65,15,chr6,"CDKN1A, TPMT, WISP3, MUT, TBX18",1.0,Chromosome_Location_hg19
0.65,17,chr11,"CARS, LIPT2, KCNJ5, TRPC6, KCNE3, DCHS1",1.0,Chromosome_Location_hg19
0.65,16,chr15,"KBTBD13, SORD, AAGAB",1.0,Chromosome_Location_hg19
0.65,20,chr3,"CD96, ARHGAP31, SCN10A, PLCD1, ROBO1",1.0,Chromosome_Location_hg19
0.65,21,chr2,"KLF11, LHCGR, IDH1, TUBA4A, GIGYF2, MATN3",1.0,Chromosome_Location_hg19
0.65,19,chr4,"GRID2, ALPK1, TLR3",1.0,Chromosome_Location_hg19
0.7,1,chrX,"ATP6AP1, OPN1MW, OPN1LW, NDUFA1, HNRNPH2, UBE2A, ARR3, CHRDL1, RAB40AL, CT47B1, TAF1",1.0,Chromosome_Location_hg19
0.7,2,chr14,"BRF1, SPTLC2, ACTN1, NRXN3, ANG, ESR2",1.0,Chromosome_Location_hg19
0.7,3,chr12,"C12ORF4, SCARB1, SLC25A3, GPD1, IRAK3, IGF1, ARID2, KRT86, DUSP6",1.0,Chromosome_Location_hg19
0.7,4,chr22,"SCO2, SPECC1L, APOL1, NEFH",1.0,Chromosome_Location_hg19
0.7,5,chr5,"PCSK1, HINT1, HDAC3, GFM2, ZFR, TGFBI, SMN1, AFF4",1.0,Chromosome_Location_hg19
0.7,7,chr9,"NTRK2, NSMF, DOLK, IKBKAP, BAAT, SPTAN1",1.0,Chromosome_Location_hg19
0.7,6,chr18,"CTDP1, MALT1",1.0,Chromosome_Location_hg19
0.7,9,chr19,"RTN2, LIPE, CYP2A6, UNC13A, CEACAM16, NLRP7, KIR3DL1, WTIP, TRPM4, RAB11B",1.0,Chromosome_Location_hg19
0.7,8,chr13,"FGF9, TGDS, SLC10A2",1.0,Chromosome_Location_hg19
0.7,10,chr15,"KBTBD13, VPS33B, SORD, TRIP4, AAGAB",1.0,Chromosome_Location_hg19
0.7,11,chr8,"KCNK9, PUF60, CPA6, CYP7A1, GPIHBP1",1.0,Chromosome_Location_hg19
0.7,13,chr17,"SLC46A1, SLFN14, PRCD, MYH8, UBTF, NLRP1, MPDU1, SOX9-AS1",1.0,Chromosome_Location_hg19
0.7,12,chr4,"GRID2, STAP1, NAA15, ALPK1, TLR3",1.0,Chromosome_Location_hg19
0.7,15,chr2,"KLF11, CYP26B1, LHCGR, IDH1, NLRC4, TUBA4A, CLASP1, GIGYF2, MATN3",1.0,Chromosome_Location_hg19
0.7,14,chr10,"CACNB2, ZRANB1, TWNK, SFTPA1, KCNK18",1.0,Chromosome_Location_hg19
0.7,16,chr7,"LMBR1, DPP6, IQCE, GARS, SNX10, DFNA5",1.0,Chromosome_Location_hg19
0.7,17,chr11,"CARS, FAM111B, LIPT2, KCNJ5, TRPC6, KCNE3, ROM1, DCHS1",1.0,Chromosome_Location_hg19
0.7,19,chr6,"CDKN1A, TPMT, WISP3, KCNQ5, MUT, TBX18",1.0,Chromosome_Location_hg19
0.7,18,chr21,KCNE2,1.0,Chromosome_Location_hg19
0.7,20,chr1,"CHRNB2, YARS, RPL5, CEP104, RBM8A, ARHGAP29, PCSK9, HFE2, HNRNPR, SLC6A9, GJB3, CFHR4, SPRTN",1.0,Chromosome_Location_hg19
0.75,1,chrX,"TRAPPC2, ATP6AP1, NDUFA1, UBE2A, ARR3, CHRDL1, CT47B1, PORCN, OPN1MW, OPN1LW, HNRNPH2, RAB40AL, TAF1",1.0,Chromosome_Location_hg19
0.75,2,chr22,"SCO2, SPECC1L, CRYBB3, NAGA, APOL1, NEFH, MORC2",1.0,Chromosome_Location_hg19
0.75,3,chr5,"PCSK1, MAP3K1, HDAC3, GFM2, ZFR, DDX41, AFF4, HINT1, COL4A3BP, MSH3, TGFBI, SMN1, HCN1",1.0,Chromosome_Location_hg19
0.75,4,chr19,"RTN2, UNC13A, NFIX, CEACAM16, TRMT1, KIR3DL1, WTIP, RAB11B, RAX2, C3, LIPE, CYP2A6, NLRP12, NLRP7, NACC1, APOE, TRPM4",1.0,Chromosome_Location_hg19
0.75,5,chr21,"COL18A1, KCNE2, CLDN14",1.0,Chromosome_Location_hg19
0.75,6,chr10,"CACNB2, ZRANB1, TWNK, EBF3, HPS6, SFTPA1, ZMYND11, KCNK18, PDZD7",1.0,Chromosome_Location_hg19
0.75,8,chr2,"KLF11, LHCGR, IDH1, EXOC6B, NLRC4, CFC1, GIGYF2, TUBA4A, PDE11A, CYP26B1, PNKD, COL4A3, SCN3A, CLASP1, MATN3",1.0,Chromosome_Location_hg19
0.75,7,chr18,"MC4R, CTDP1, MALT1",1.0,Chromosome_Location_hg19
0.75,9,chr14,"SPTLC2, BRF1, ACTN1, NRXN3, ANG, SOS2, ESR2",1.0,Chromosome_Location_hg19
0.75,10,chr7,"CAMK2B, LMBR1, SAMD9L, DPP6, SAMD9, IQCE, GARS, SNX10, ABCA13, DFNA5",1.0,Chromosome_Location_hg19
0.75,11,chr6,"CDKN1A, TPMT, GMNN, WISP3, EFHC1, HIST1H1E, KCNQ5, PHIP, TREM2, MUT, TBX18",1.0,Chromosome_Location_hg19
0.75,12,chr15,"KBTBD13, MYO1E, AGBL1, VPS33B, SORD, TRIP4, AAGAB",1.0,Chromosome_Location_hg19
0.75,13,chr9,"NTRK2, NSMF, DOLK, CEL, IKBKAP, BAAT, JAK2, SPTAN1",1.0,Chromosome_Location_hg19
0.75,14,chr12,"C12ORF4, SCARB1, SLC25A3, GPD1, IRAK3, IGF1, ARID2, KRT86, DUSP6, PTHLH",1.0,Chromosome_Location_hg19
0.75,15,chr17,"SLC46A1, PRCD, SLFN14, MYH8, UBTF, TLK2, CRYBA1, NLRP1, PPM1D, SOX9-AS1, MPDU1",1.0,Chromosome_Location_hg19
0.75,16,chr8,"KCNK9, PUF60, MAFA, CYP7A1, CPA6, GPIHBP1",1.0,Chromosome_Location_hg19
0.75,19,chr11,"FAM111B, LIPT2, CARS, KCNJ5, TRPC6, KCNE3, ROM1, APOA1, DCHS1, KMT5B, CDON",1.0,Chromosome_Location_hg19
0.75,18,chr4,"KIAA1109, GRID2, STAP1, NAA15, ALPK1, TLR3",1.0,Chromosome_Location_hg19
0.75,17,chr13,"FGF9, TGDS, SLC10A2",1.0,Chromosome_Location_hg19
0.75,20,chr20,"JPH2, TGM6, PDYN",1.0,Chromosome_Location_hg19
0.8,1,chrX,"TRAPPC2, EDA, DDX3X, SMPX, ATP6AP1, NAA10, NDUFA1, UBE2A, ARR3, PHF6, CHRDL1, CT47B1, POU3F4, RS1, PORCN, STS, CLCN4, OPN1MW, OPN1LW, HNRNPH2, RAB40AL, TAF1",1.0,Chromosome_Location_hg19
0.8,2,chr2,"IL1RN, PKDCC, NLRC4, GIGYF2, ACTG2, IFIH1, PDE11A, CYP26B1, SCN9A, XIRP2, IL36RN, SCN3A, CLASP1, KLF11, LHCGR, BCL11A, IDH1, DNMT3A, EXOC6B, SOX11, TBR1, CFC1, TUBA4A, POU3F3, PNKD, COL4A3, ASXL2, TRIP12, C2ORF71, MATN3",1.0,Chromosome_Location_hg19
0.8,3,chr10,"ZRANB1, ASCC1, TWNK, EBF3, HPS6, KCNK18, CACNB2, FGF8, RBP3, ANKRD1, PCBD1, SFTPA1, ZMYND11, OPTN, PDZD7",1.0,Chromosome_Location_hg19
0.8,4,chr14,"NEK9, SPTLC2, BRF1, ACTN1, ADSSL1, NRXN3, OTX2, ANG, CALM1, SOS2, ESR2, MYH6",1.0,Chromosome_Location_hg19
0.8,5,chr22,"SCO2, SPECC1L, CRYBB3, NAGA, APOL1, SOX10, NEFH, MORC2",1.0,Chromosome_Location_hg19
0.8,6,chr18,"MC4R, CTDP1, LIPG, MALT1, MIB1",1.0,Chromosome_Location_hg19
0.8,8,chr15,"KBTBD13, MYO1E, SNHG14, RAD51, AGBL1, SIN3A, VPS33B, SORD, TRIP4, MKRN3, AAGAB, SMAD6",1.0,Chromosome_Location_hg19
0.8,9,chr5,"PCSK1, MAP3K1, HDAC3, GFM2, SAR1B, NSUN2, ZFR, DDX41, AFF4, HINT1, COL4A3BP, KIF2A, MSH3, TGFBI, SMN1, HCN1",1.0,Chromosome_Location_hg19
0.8,7,chr21,"COL18A1, KCNE2, CLDN14, C21ORF2",1.0,Chromosome_Location_hg19
0.8,10,chr19,"RTN2, UNC13A, NFIX, CEACAM16, TRMT1, KIR3DL1, SPINT2, WTIP, EPOR, RAB11B, RAX2, C3, LIPE, CYP2A6, NLRP12, NLRP7, GNA11, NACC1, MYH14, APOE, TRPM4",1.0,Chromosome_Location_hg19
0.8,11,chr6,"CDKN1A, TPMT, GMNN, WISP3, GUCA1A, PPP2R5D, TREM2, MUT, TBX18, PLN, NDUFAF4, CSNK2B, EFHC1, HIST1H1E, KCNQ5, PHIP",1.0,Chromosome_Location_hg19
0.8,18,chr17,"SLC46A1, FZD2, THRA, PRCD, NOG, CRYBA1, ERAL1, PPM1D, SLFN14, MYH8, UBTF, TLK2, NLRP1, SOX9-AS1, MPDU1, BPTF",1.0,Chromosome_Location_hg19
0.8,12,chr6 mann hap4,CSNK2B,1.0,Chromosome_Location_hg19
0.8,16,chr13,"FGF9, TGDS, SLC10A2, THSD1, SPG20",1.0,Chromosome_Location_hg19
0.8,13,chr6 ssto hap7,CSNK2B,1.0,Chromosome_Location_hg19
0.8,21,chr12,"SCARB1, SLC25A3, IRAK3, IGF1, CACNA1C, KRT86, DUSP6, PTHLH, C12ORF65, RPS26, C12ORF4, GPD1, ARID2",1.0,Chromosome_Location_hg19
0.8,14,chr6 mcf hap5,CSNK2B,1.0,Chromosome_Location_hg19
0.8,15,chr6 dbb hap3,CSNK2B,1.0,Chromosome_Location_hg19
0.8,22,chr16,"SRRM2, FOXC2, VAC14, TRAPPC2L, MAF, MRPS34, CDK10, LCAT, TBX6, MAPK8IP3",1.0,Chromosome_Location_hg19
0.8,20,chr20,"JPH2, PTGIS, CHRNA4, SLC4A11, TGM6, PDYN",1.0,Chromosome_Location_hg19
0.85,1,chrX,"EDA, DDX3X, SMPX, MAGT1, ARR3, GATA1, PHF6, CHRDL1, RS1, PORCN, STS, OPN1LW, PGK1, EMD, ARSE, GRIA3, KDM6A, TRAPPC2, G6PD, ATP6AP1, NAA10, USP9X, NONO, NDUFA1, AMMECR1, NR0B1, UBE2A, CT47B1, POU3F4, CLCN4, OPN1MW, ANOS1, DCX, HNRNPH2, RAB40AL, TAF1",1.0,Chromosome_Location_hg19
0.85,2,chr14,"NEK9, BRF1, ATL1, ACTN1, CHD8, NRXN3, PYGL, PSEN1, COCH, ESR2, TSHR, SIX6, RDH12, SPTLC2, CCDC88C, ADSSL1, ANG, OTX2, CALM1, SOS2, MYH6",1.0,Chromosome_Location_hg19
0.85,3,chr18,"MC4R, SMAD2, CTDP1, TTR, DTNA, LIPG, MALT1, MIB1",1.0,Chromosome_Location_hg19
0.85,4,chr2,"IL1RN, PKDCC, CUL3, HOXD13, NLRC4, GIGYF2, ACTG2, GLI2, HSPD1, IFIH1, PPP1CB, NEUROD1, PDE11A, CYP26B1, SCN9A, XIRP2, IL36RN, SCN3A, CLASP1, KLF11, LHCGR, BCL11A, IDH1, DNMT3A, EXOC6B, SOX11, TBR1, CFC1, TUBA4A, POU3F3, PNKD, NDUFAF7, COL4A3, ASXL2, TRIP12, C2ORF71, MATN3",1.0,Chromosome_Location_hg19
0.85,5,chr5,"PCSK1, HDAC3, SAR1B, GFM2, CAMK2A, DDX41, AFF4, NIPAL4, HINT1, COL4A3BP, ANKH, C9, SMN1, C5ORF42, MAP3K1, MYO10, NSUN2, PDE4D, ZFR, NR2F1, DIAPH1, KIF2A, MSH3, TGFBI, HCN1",1.0,Chromosome_Location_hg19
0.85,6,chr12,"SCARB1, SLC25A3, AMHR2, CACNA1C, KRT86, PTHLH, C12ORF65, LRP6, C12ORF57, CUX2, KIF21A, ARID2, MYBPC1, SMARCC2, VWF, SYT1, A2ML1, IRAK3, IGF1, DUSP6, MFAP5, RPS26, C12ORF4, TRPV4, GPD1, VAMP1",1.0,Chromosome_Location_hg19
0.85,7,chr10,"ANKRD26, ZRANB1, ASCC1, TWNK, HPS6, EBF3, LDB3, KCNK18, CACNB2, FGF8, CYP26C1, RBP3, ANKRD1, WAC, PCBD1, SFTPA1, ZMYND11, OPTN, PDZD7, PITX3",1.0,Chromosome_Location_hg19
0.85,8,chr15,"VPS33B, SORD, TRIP4, SMAD6, GLDN, PATL2, DLL4, KBTBD13, MYO1E, SNHG14, RAD51, CDAN1, AGBL1, SIN3A, ADAMTS17, MKRN3, AAGAB",1.0,Chromosome_Location_hg19
0.85,9,chr22,"SCO2, SPECC1L, CRYBB3, NAGA, ADA2, APOL1, SBF1, SOX10, NEFH, MORC2",1.0,Chromosome_Location_hg19
0.85,12,chr16,"SRRM2, FOXC2, VAC14, TRAPPC2L, MRPS34, LCAT, CTCF, TBX6, NOD2, LITAF, MAPK8IP3, CACNA1H, HSD11B2, MAF, CHMP1A, CDK10, PIEZO1, ZNF469, ZNF423",1.0,Chromosome_Location_hg19
0.85,11,chr21,"COL18A1, KCNE2, CLDN14, DONSON, C21ORF2",1.0,Chromosome_Location_hg19
0.85,10,chr6 mann hap4,"CSNK2B, VARS2",1.0,Chromosome_Location_hg19
0.85,13,chr6 mcf hap5,"CSNK2B, VARS2",1.0,Chromosome_Location_hg19
0.85,14,chr6 dbb hap3,"CSNK2B, VARS2",1.0,Chromosome_Location_hg19
0.85,15,chr6 qbl hap6,"CSNK2B, VARS2",1.0,Chromosome_Location_hg19
0.85,18,chr3,"P2RY12, SETD5, CD96, BRPF1, DOCK3, TERC, ARL6, MRPS22, FOXL2, NBEAL2, ATP2B2, CLCN2, ROBO1, SOX2, SCN10A, ARHGAP31, TMEM43, SCN11A, TBL1XR1, CHMP2B, AGTR1, NPHP3, PLCD1, MCM2",1.0,Chromosome_Location_hg19
0.85,16,chr6 cox hap2,"CSNK2B, VARS2",1.0,Chromosome_Location_hg19
0.85,17,chr20,"RTEL1-TNFRSF6B, MC3R, PRNP, JPH2, PTGIS, CHRNA4, SLC4A11, TGM6, PDYN, ITPA",1.0,Chromosome_Location_hg19
0.85,20,chr13,"COL4A2, FGF9, TGDS, SLC10A2, SMAD9, THSD1, SPG20",1.0,Chromosome_Location_hg19
0.85,21,chr4,"LRPAP1, GRID2, CFI, LARP7, UFSP2, ANK2, RBPJ, KIAA1109, REST, GUF1, STAP1, NAA15, ALPK1, TLR3",1.0,Chromosome_Location_hg19
0.9,1,chrX,"KDM5C, EDA, DDX3X, MAGT1, ARR3, PHF6, CHRDL1, PHEX, PQBP1, AFF2, RPGR, RS1, STS, OPN1LW, SLC16A2, ATP7A, EMD, ABCD1, KDM6A, G6PD, ATP6AP1, AVPR2, PHKA1, ACSL4, FOXP3, MID2, POU3F4, AR, F8, F9, OPN1MW, IL1RAPL1, ANOS1, DCX, COL4A5, ZNF711, HNRNPH2, PRPS1, SMPX, HDAC8, CACNA1F, GATA1, MTM1, PORCN, ADGRG2, PTCHD1, PGK1, ARSE, GRIA3, RBM10, TRAPPC2, SLC35A2, BCAP31, NAA10, USP9X, NONO, SH2D1A, NDUFA1, AMMECR1, NR0B1, UBE2A, WDR13, CT47B1, GPR143, GJB1, TMLHE, CLCN4, DLG3, PLP1, GLA, RAB40AL, MBTPS2, CUL4B, OTC, TAF1",0.00011452275992761987,Chromosome_Location_hg19
0.9,2,chr14,"ATL1, FOXG1, CHD8, NRXN3, PYGL, PSEN1, COCH, SIX6, RDH12, SPTLC2, NKX2-1, FLVCR2, OTX2, NEK9, DYNC1H1, BRF1, BCL11B, ACTN1, ESRRB, TINF2, MLH3, ESR2, TSHR, INF2, NPC2, CCDC88C, ADSSL1, ANG, CALM1, SOS2, MYH6",1.0,Chromosome_Location_hg19
0.9,3,chr18,"MC4R, SMAD2, SMCHD1, CTDP1, TTR, DTNA, ASXL3, LIPG, GATA6, KCTD1, MALT1, MIB1",1.0,Chromosome_Location_hg19
0.9,4,chr6 mcf hap5,"CYP21A2, TUBB, CSNK2B, NEU1, VARS2",1.0,Chromosome_Location_hg19
0.9,8,chr10,"MRPS16, LDB3, SMC3, MYPN, MMP21, FGF8, ANKRD1, PCBD1, PDZD7, PITX3, CUBN, ANKRD26, ZRANB1, ASCC1, TWNK, C10ORF11, HPS6, EBF3, KCNK18, GLUD1, CACNB2, ZEB1, CYP26C1, RBP3, KAT6B, KCNMA1, WAC, FAS, SFTPA1, ZMYND11, OPTN, VCL, NEUROG3",1.0,Chromosome_Location_hg19
0.9,5,chr6 dbb hap3,"CYP21A2, TUBB, CSNK2B, NEU1, VARS2",1.0,Chromosome_Location_hg19
0.9,11,chr12,"KMT2D, SCARB1, SLC25A3, CDKN1B, AMHR2, NDUFA12, PTPRQ, ATP2A2, CACNA1C, KRT86, PTHLH, C12ORF65, LRP6, C12ORF57, TBK1, CUX2, GNPTAB, KIF21A, ARID2, ACADS, MYBPC1, SMARCC2, VWF, SYT1, KRT1, A2ML1, ABCC9, IRAK3, KRT5, IGF1, HNF1A, DUSP6, ETV6, MFAP5, RPS26, C12ORF4, POLR3B, MYL2, PAH, TRPV4, GPD1, VAMP1",1.0,Chromosome_Location_hg19
0.9,6,chr6 mann hap4,"TUBB, CSNK2B, NEU1, VARS2",1.0,Chromosome_Location_hg19
0.9,7,chr6 qbl hap6,"CYP21A2, TUBB, CSNK2B, NEU1, VARS2",1.0,Chromosome_Location_hg19
0.9,14,chr2,"IL1RN, MYT1L, ACTG2, GLI2, IFIH1, PPP1CB, CYP26B1, SPR, SCN9A, SIX3, CTLA4, KLF11, ABCG8, LHCGR, ABCG5, DNMT3A, SOX11, TBR1, TUBA4A, POU3F3, CYP27A1, MYCN, COL4A3, MATN3, CERKL, PKDCC, CUL3, CXCR4, HOXD13, NLRC4, LRP2, GIGYF2, HSPD1, NEUROD1, DGUOK, PDE11A, EPCAM, XIRP2, IL36RN, SCN3A, CLASP1, BARD1, RANBP2, GCKR, BCL11A, KCNJ13, IDH1, EXOC6B, CFC1, CRYGC, PNKD, NDUFAF7, ASXL2, TRIP12, C2ORF71",1.0,Chromosome_Location_hg19
0.9,12,chr22,"TMPRSS6, PDGFB, CRYBB3, NAGA, CRYBB2, ADA2, SOX10, MN1, SCO2, SPECC1L, EP300, APOL1, LZTR1, SBF1, NEFH, MORC2, SHANK3",1.0,Chromosome_Location_hg19
0.9,9,chr6 ssto hap7,"CYP21A2, TUBB, CSNK2B, NEU1",1.0,Chromosome_Location_hg19
0.9,16,chr5,"PCSK1, TRIO, HDAC3, SAR1B, GFM2, CTNND2, CAMK2A, DDX41, AFF4, NIPAL4, NIPBL, HINT1, COL4A3BP, ANKH, C9, SMN1, POLK, PITX1, C5ORF42, TTC37, SLC6A19, MAP3K1, SPINK1, MYO10, NSUN2, SLC34A1, PDE4D, ZFR, NR2F1, POU4F3, DHFR, DIAPH1, RAD50, KIF2A, MSH3, RASA1, TGFBI, HCN1",1.0,Chromosome_Location_hg19
0.9,15,chr20,"CTSA, MGME1, RTEL1-TNFRSF6B, PRNP, PIGT, PTGIS, EDN3, CHRNA4, SLC4A11, PDYN, ASXL1, MC3R, JPH2, HNF4A, TUBB1, EEF1A2, COL9A3, ADNP, TGM6, ITPA, ADA",1.0,Chromosome_Location_hg19
0.9,10,chr6 apd hap1,"TUBB, NEU1",1.0,Chromosome_Location_hg19
0.9,13,chr6 cox hap2,"CYP21A2, TUBB, CSNK2B, NEU1, VARS2",1.0,Chromosome_Location_hg19
0.9,17,chr6,"CDKN1A, TPMT, DNAH8, ZNF292, GMNN, WISP3, GUCA1A, TNFAIP3, TREM2, SYNE1, GJA1, PLN, NEU1, PGM3, COL10A1, HIST1H1E, SERAC1, VARS2, MAP3K7, TUBB, DCDC2, PPP2R5D, MUT, TBX18, PEX7, TUBB2B, TUBB2A, PRPH2, CYP21A2, PEX3, NDUFAF4, PEX6, POLR1C, CSNK2B, TBC1D7, EFHC1, PHIP, KCNQ5, LPA, MOCS1",1.0,Chromosome_Location_hg19
0.9,18,chr16,"FOXC2, VAC14, SRCAP, PIGQ, NPRL3, MRPS34, LCAT, CTCF, NOD2, MEFV, LITAF, CACNA1H, LMF1, HSD11B2, CA5A, CHMP1A, PIEZO1, ZNF469, MYH11, ZNF423, SRRM2, TRAPPC2L, SETD1A, HBA2, TBX6, MAPK8IP3, STX1B, MAF, ARMC5, CDK10",1.0,Chromosome_Location_hg19
